,TransactionID,CustomerID,CustomerDOB,CustGender,CustLocation,CustAccountBalance,TransactionDate,TransactionTime,TransactionAmount (INR),Age
80,T81,C8342660,1967-05-04,M,DUBAI,6190.71,2016-08-01,21:06:10,878.0,49
673,T674,C2421359,1987-10-05,M,DUBAI,141686.3,2016-10-21,21:20:13,353.0,29
947,T948,C7621386,1987-10-05,M,DUBAI,141686.3,2016-10-21,21:16:55,620.0,29
1001,T1002,C4488674,1959-12-02,M,WRZESNIA,342979.61,2016-10-21,20:05:32,21230.06,56
1223,T1224,C8831623,1962-08-26,F,DUBAI,81427.22,2016-10-21,21:05:14,17500.0,54
2276,T2277,C7931640,1955-09-07,M,AL KHOBAR,454377.4,2016-10-21,19:59:31,25000.0,61
2364,T2365,C7430868,1983-02-10,M,LONDON,345610.61,2016-10-21,21:52:17,4989.0,33
2512,T2513,C5413618,1988-12-22,M,RALEIGH,245773.59,2016-10-21,16:08:33,2271.0,27
2912,T2913,C5127570,1992-09-27,M,SINGAPORE,190081.55,2016-10-21,06:51:10,190.0,24
3349,T3350,C4319367,1982-02-05,M,KUALA LAMPUR,77313.06,2016-10-21,15:09:15,1301.0,34
4087,T4088,C1640352,1963-06-16,M,ABU DHABI,10576939.93,2016-09-22,13:55:02,507.0,53
4117,T4118,C6332444,1981-06-16,M,ABU DHABI,143.28,2016-09-23,19:48:58,4500.0,35
4459,T4460,C7698128,1985-06-18,M,DANDENONG,61994.81,2016-09-22,15:32:38,1710.79,31
5126,T5127,C4336992,1989-08-28,M,DUBAI,54914.92,2016-09-22,00:13:42,249.0,27
5458,T5459,C3715141,1985-03-25,M,PO BOX 28483 DUBAI,21696661.0,2016-08-14,13:04:49,2060.0,31
6374,T6375,C4738333,1980-03-12,M,SHAH ALAM,20141.25,2016-09-27,21:34:18,7290.0,36
6420,T6421,C3010413,1976-01-27,M,DUBAI,1617441.17,2016-09-22,13:36:40,570.0,40
6556,T6557,C8379719,1981-06-02,M,SINGAPORE,37055.13,2016-09-25,21:54:07,4796.0,35
6685,T6686,C7213658,1996-04-19,M,RIYADH,319972.78,2016-09-22,13:07:47,450.0,20
6919,T6920,C6133882,1985-11-02,M,MUNCHEN,689001.62,2016-09-27,18:15:15,21960.0,30
7325,T7326,C3130753,1957-12-24,M,JUBAILI IND CITY,277487.7,2016-09-25,20:27:40,2092.0,58
7479,T7480,C8529056,1989-01-09,M,NOTTINGHAM,186.35,2016-09-26,21:50:02,599.0,27
8190,T8191,C2527428,1986-04-13,M,NORTH CAROLINA,25097.42,2016-09-22,12:04:39,75.46,30
9293,T9294,C3537324,1983-03-28,M,COCKEYSVILLE,6710.98,2016-09-25,19:01:04,1615.04,33
9404,T9405,C5113840,1983-07-14,M,LEIDEN,2530496.82,2016-09-25,19:18:11,472.0,33
9676,T9677,C6833840,1985-11-02,M,MUNCHEN,14971.55,2016-09-25,19:41:56,100000.0,30
9887,T9888,C4959972,1985-09-07,F,RIIHIMAKI,1985.66,2016-09-25,18:54:52,236.0,31
10469,T10470,C1679713,1981-06-02,M,SINGAPORE,37055.13,2016-09-25,21:57:00,2995.0,35
10597,T10598,C5613112,1986-02-11,M,BRUSSEL,273109.16,2016-09-25,21:14:07,910.0,30
11103,T11104,C3718962,1980-09-07,M,MOMBASA,4875052.46,2016-09-27,15:33:48,94.0,36
11933,T11934,C6680162,1962-06-16,M,RUWI,78.92,2016-09-27,16:34:55,435.0,54
11944,T11945,C4331857,1987-10-06,M,DOHA,204979.59,2016-09-27,18:03:58,999.0,29
12197,T12198,C6333071,1989-06-12,M,KIGALI,12405.19,2016-09-27,17:45:03,3134.0,27
12905,T12906,C7522476,1982-10-25,M,DUBAI,1127892.55,2016-09-27,17:26:28,740.0,34
